시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
유치원,이화유치원,경기도 오산시 청학로173번길 14 (수청동),경기도 오산시 수청동 514,37.1643481,127.0625447,경기도 오산시,오산경찰서,Y,2,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,이림유치원,경기도 오산시 남부대로441번길 24-6 (고현동),경기도 오산시 고현동 73-1,37.1355429,127.0857412,경기도 오산시,오산경찰서,Y,1,4,2021-03-16,4000000,경기도 오산시,경기도
유치원,동화마을유치원,경기도 오산시 운천로165번길 31-20 (오산동),경기도 오산시 오산동 912-7,37.1570389,127.0764159,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,동탄우리유치원,경기도 오산시 외삼미로 135 (외삼미동),경기도 오산시 외삼미동 150-5,37.19699725,127.0602521,경기도 오산시,오산경찰서,Y,1,4,2021-03-16,4000000,경기도 오산시,경기도
유치원,창의나라 유치원,경기도 오산시 금암로 26 (금암동),경기도 오산시 금암동 534-1,37.171456,127.0494621,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,물향기 유치원,경기도 오산시 수청로 80-8 (내삼미동),경기도 오산시 내삼미동 886,37.1758277,127.0548565,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,펀키즈 유치원,경기도 오산시 큰말25번길 18 (세교동),경기도 오산시 세교동 401,37.1879419,127.0346338,경기도 오산시,오산경찰서,Y,1,4,2021-03-16,4000000,경기도 오산시,경기도
유치원,뿌리 유치원,경기도 오산시 양산로348번길 23 (양산동),경기도 오산시 양산동 359-3,37.1960068,127.0256784,경기도 오산시,오산경찰서,Y,1,4,2021-03-16,4000000,경기도 오산시,경기도
유치원,숲속다원유치원,경기도 오산시 서동로 123-27 (서동),경기도 오산시 서동 273,37.15169895,127.0377376,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,파랑새유치원,부산광역시 해운대구 해운대구 신반송로 21,부산광역시 해운대구 반송2동 233-4,35.229041,129.158271,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,5~8,2021-03-29,3330000,부산광역시 해운대구,부산광역시
유치원,푸른유치원,부산광역시 해운대구 세실로 19,부산광역시 해운대구 좌동 1333,35.16739639,129.1794388,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,16~26,2021-03-29,3330000,부산광역시 해운대구,부산광역시
